Rank,Previous,School,Conference,Record,Road,Neutral,Home,Non Div I
145,143,Penn St.,Big Ten,23-23,7-13,5-2,11-8,0-0
146,142,UC San Diego,Big West,28-22,8-13,0-0,20-9,0-0
147,148,Hofstra,CAA,21-30,10-23,0-0,11-7,0-0
148,134,Gonzaga,WCC,19-27,8-23,0-0,11-4,0-0
149,145,Southeastern La.,Southland,24-25,9-12,1-1,14-12,2-0
150,152,Stanford,Pac-12,20-29,7-13,0-0,13-16,0-0
151,149,Western Mich.,MAC,26-20,13-6,2-9,11-5,1-0
152,153,Washington,Pac-12,19-26,6-15,1-1,12-10,0-0
153,154,Southeast Mo. St.,OVC,28-24,15-12,0-0,13-12,0-0
154,151,Kent St.,MAC,25-22,13-17,0-0,12-5,1-1
155,157,Stony Brook,CAA,24-25,8-13,2-4,14-8,0-0
156,156,Southern Ill.,MVC,30-23,10-13,0-0,20-10,0-0
157,162,Belmont,MVC,24-28,10-11,0-2,14-15,0-0
158,160,Saint Joseph's,Atlantic 10,24-23,9-17,0-0,15-6,0-0
159,159,Holy Cross,Patriot,26-27,14-24,1-0,11-3,0-0
160,161,N.C. A&T,CAA,24-27,8-15,2-1,14-11,0-0
161,180,Fairfield,MAAC,30-21,12-14,0-0,18-7,0-0
162,155,Little Rock,OVC,29-22,12-13,0-0,17-9,0-0
163,165,Rhode Island,Atlantic 10,17-27,7-19,0-0,10-8,0-0
164,158,Fla. Atlantic,AAC,25-25,7-15,0-0,18-10,0-0
165,164,Utah Valley,WAC,23-25,14-17,0-0,9-8,4-0
166,163,George Washington,Atlantic 10,29-22,8-12,0-0,21-10,0-0
167,166,Navy,Patriot,28-21,10-11,0-3,18-7,0-0
168,167,Elon,CAA,21-29,4-14,0-0,17-15,0-0
169,168,San Jose St.,Mountain West,20-30,10-22,0-0,10-8,0-0
170,173,Rice,AAC,22-31,8-13,0-0,14-18,0-0
171,169,Nevada,Mountain West,23-25,13-18,0-0,10-7,0-0
172,171,Fordham,Atlantic 10,19-30,7-16,1-3,11-11,0-0
173,170,Miami (OH),MAC,25-23,11-12,1-0,13-11,0-0
174,172,Princeton,Ivy League,17-24,10-16,0-0,7-8,0-0
175,191,Marshall,Sun Belt,18-34,3-21,1-4,14-9,0-0
176,184,New Mexico,Mountain West,26-22,7-10,2-2,17-10,1-0
177,177,ULM,Sun Belt,22-30,8-12,0-0,14-18,0-0
178,175,Northwestern St.,Southland,18-31,6-16,2-2,10-13,2-0
179,179,UT Arlington,WAC,20-32,11-20,0-0,9-12,0-0
180,178,UAB,AAC,24-26,8-14,0-0,16-12,0-0
181,187,Northern Ky.,Horizon,28-21,12-16,0-0,16-5,2-0
182,181,Tarleton St.,WAC,26-26,12-16,0-0,14-10,0-0
183,182,Jacksonville St.,CUSA,18-31,7-14,0-0,11-17,0-0
184,185,Oakland,Horizon,27-24,15-19,0-0,12-5,2-0
185,183,Butler,Big East,20-32,13-14,2-3,5-15,0-0
186,189,Memphis,AAC,22-30,10-15,0-0,12-15,0-0
187,186,Seton Hall,Big East,23-28,12-10,2-1,9-17,0-0
188,190,UCLA,Pac-12,16-33,4-20,0-2,12-11,0-0
189,176,Monmouth,CAA,17-28,8-20,1-3,8-5,0-0
190,174,Fresno St.,Mountain West,29-23,13-12,0-0,16-11,0-0
191,194,Charleston So.,Big South,20-28,8-10,0-0,12-18,0-0
192,193,Florida A&M,SWAC,25-24,11-10,3-2,11-12,0-0
193,195,Massachusetts,Atlantic 10,22-26,12-18,1-5,9-3,0-0
194,197,Arkansas St.,Sun Belt,21-29,6-17,0-0,15-12,0-0
195,199,UMBC,America East,23-22,6-19,0-0,17-3,0-0
196,192,UIW,Southland,24-27,7-17,0-0,17-10,0-0
197,196,Washington St.,Pac-12,21-29,8-14,2-1,11-14,0-0
198,188,Morehead St.,OVC,30-22,14-15,0-0,16-7,0-0
199,200,Presbyterian,Big South,26-25,8-12,1-2,17-11,0-0
200,201,UMass Lowell,America East,22-28,15-20,0-0,7-8,0-0
201,198,Jacksonville,ASUN,24-27,7-14,0-0,17-13,0-0
202,207,Wagner,NEC,24-26,11-20,0-0,13-6,0-0
203,203,Bucknell,Patriot,22-24,6-16,4-2,12-6,0-0
204,202,Penn,Ivy League,20-22,10-16,0-0,10-6,0-0
205,204,Toledo,MAC,25-27,14-19,0-0,11-8,0-0
206,211,UTRGV,WAC,25-22,10-11,0-0,15-11,0-0
207,208,Long Beach St.,Big West,23-25,6-16,0-0,17-9,0-0
